"married","educ","female","retired","netwealth","age","riskyasset","netinc"
1,0,0,1,670.43212890625,68,3.63902258872986,27.8999996185303
1,1,0,0,374.5,62,0,31
0,0,0,0,91,59,NA,17.9500007629395
0,1,1,0,450,60,0,41
0,0,1,1,190.5,86,0,20
0,0,1,1,101.561210632324,61,0,15.3000001907349
1,0,0,1,464.729583740234,78,0,15.9799995422363
0,0,0,0,289,55,60.3448257446289,39.2000007629395
1,0,0,0,242.791381835938,60,0,35.8079986572266
0,0,1,1,456.947296142578,78,0,26.2999992370605
1,0,0,1,484.855316162109,71,0,16.7999992370605
0,0,0,1,1215.09997558594,80,0,16.2000007629395
0,0,0,1,122,78,0,18.6000003814697
1,0,0,0,368.218048095703,56,0,31.5
1,0,0,1,617.733154296875,66,0,41.5999984741211
1,0,0,1,641.054260253906,73,0,24.8700008392334
0,0,1,1,122,92,NA,13.3000001907349
1,0,0,1,159.5,70,0,17.7999992370605
0,0,0,1,4.49006605148315,77,0,11.1669998168945
1,0,0,1,198.856033325195,66,NA,32
1,0,0,1,215.188201904297,76,12.5956144332886,29.6499996185303
1,0,0,1,355,71,NA,21
0,0,1,0,305,82,0,19.8999996185303
0,1,1,0,2799.11206054688,60,1.73335707187653,40.2000007629395
1,0,1,1,25,72,0,9.90499973297119
1,0,1,0,223.595001220703,55,0,20.3999996185303
1,0,0,1,346,78,87.8048782348633,37.9000015258789
1,0,0,0,114.72265625,59,0,29.6000003814697
0,0,0,0,500,57,0,30.7999992370605
1,0,0,1,277,70,0,20.5699996948242
1,0,0,1,435,76,60.0000038146973,42.9599990844727
0,0,1,1,114.300003051758,69,0,12
1,0,0,1,159.372863769531,77,0,22.3700008392334
0,0,1,1,1.5,74,0,10.9200000762939
1,0,0,0,767,66,0,35.0859985351562
0,0,1,1,1.95613265037537,61,0,15.6000003814697
0,0,1,1,124,62,0,16.8059997558594
1,0,1,0,-10.3285484313965,61,0,0
0,0,1,1,180.667465209961,77,0,18.8999996185303
0,0,1,1,17.2006645202637,86,0,12.8570003509521
1,0,1,1,410.503387451172,70,0,26.2740001678467
0,0,1,1,25.9771766662598,73,0,13
1,0,1,1,444.931427001953,64,0,26.2999992370605
0,0,0,1,40,82,NA,10.0699996948242
0,0,0,1,142.5,76,0,16.5949993133545
0,0,1,1,0,79,NA,14
0,0,1,1,1.41787338256836,72,0,12.3500003814697
0,0,0,1,153.100006103516,71,0,19
0,0,0,0,899.79150390625,55,0,17.6000003814697
1,0,0,1,11,77,0,15.6000003814697
0,1,1,0,193.760330200195,56,0,30.2000007629395
0,0,0,1,37,87,0,20.3999996185303
0,0,0,1,107.768081665039,90,0,13.585000038147
1,0,1,0,120.5,60,NA,4.80000019073486
0,0,1,1,0.0599999986588955,76,NA,8.76000022888184
0,1,0,1,130.977066040039,75,0,25.4300003051758
0,0,0,1,1.10000002384186,71,0,28.6000003814697
1,0,1,0,257.149871826172,59,0,25.2999992370605
1,0,1,1,131.70100402832,82,0,13.1999998092651
1,0,0,1,481.472717285156,69,0,36.3899993896484
0,0,1,1,160.172729492188,72,0,23.992000579834
1,0,0,1,3.79999995231628,69,0,12
1,0,1,0,255.576126098633,55,0,24.3999996185303
0,0,1,1,70,77,NA,12.1499996185303
1,0,0,0,270.061737060547,58,0,34.7120018005371
0,0,0,1,49.0999984741211,70,NA,18.9699993133545
0,1,0,1,1676.5,67,54.0540504455566,74.4899978637695
1,0,0,1,157,78,0,21.6000003814697
1,0,0,1,535.775024414062,88,31.0349884033203,28.2199993133545
1,0,1,1,24.0104961395264,76,0,13.0699996948242
1,0,0,1,1190,71,78.260871887207,41.5999984741211
1,0,0,1,401.5,68,0,31.7000007629395
1,0,1,0,7,75,0,0
0,0,0,1,1.80085802078247,72,0,10.3999996185303
0,0,1,1,450.604644775391,63,0,23.8999996185303
1,0,0,0,321.370635986328,59,0,25.2000007629395
0,0,1,1,18.6000003814697,66,0,9.10000038146973
1,0,0,1,341,82,87.2093048095703,28.25
1,0,0,1,120.099998474121,67,NA,26.3999996185303
1,0,0,1,183.5,72,0,27.1499996185303
0,1,1,1,151.294143676758,83,0,20.3999996185303
0,0,0,1,80,74,NA,12.3599996566772
0,0,0,0,0,59,NA,8
0,0,1,1,488,88,0,33.7999992370605
1,0,0,1,77.5,77,0,19.6599998474121
1,0,0,1,191.5,69,0,14.6000003814697
1,1,0,1,305,80,NA,26.7999992370605
0,0,1,1,3,66,0,7.53999996185303
1,1,0,0,620,55,27.2727279663086,89.5999984741211
0,0,1,0,169.659210205078,59,0,25.0480003356934
1,1,0,1,337,70,0,30.7000007629395
0,0,1,1,39.7000007629395,74,0,10.8500003814697
0,0,1,1,102.035934448242,73,0,17.6399993896484
1,0,0,1,212.415374755859,72,0,34.2999992370605
0,0,1,1,60,78,0,12.4899997711182
1,0,0,1,203.724136352539,70,0,13.8999996185303
1,0,0,1,205,62,NA,24
0,0,0,1,374.600006103516,65,50,41.0699996948242
0,0,1,1,6.46173238754272,81,0,13.3900003433228
0,0,1,0,194.771301269531,59,0,21.7199993133545
1,0,0,1,117.300003051758,65,0,20.5
1,0,0,0,362.204864501953,61,0,31.2000007629395
0,0,1,1,7.45699501037598,79,0,17.8999996185303
1,1,0,1,286.610626220703,68,0,32.0499992370605
1,0,0,1,411,67,0,19.0559997558594
1,0,0,1,350.291198730469,59,0,36.8499984741211
0,1,1,1,276.104278564453,63,85.4102478027344,32.0299987792969
1,0,1,0,133.300003051758,68,0,5.40000009536743
0,0,1,1,1.29999995231628,66,0,8.39999961853027
1,0,0,0,0,58,NA,11.6000003814697
1,0,0,0,85,65,0,31.9500007629395
1,0,0,1,120,71,NA,18
1,0,0,1,6.5,79,0,9.10000038146973
1,0,0,1,323.359039306641,74,0,20.2999992370605
0,0,0,1,436.921020507812,79,86.814826965332,31.5
1,0,0,1,85.0899963378906,77,NA,16.5900001525879
0,0,0,1,0,75,NA,13
1,0,0,0,374.209167480469,58,0,41.7999992370605
1,0,0,0,161.24479675293,64,0,22.2000007629395
0,0,0,1,17.9467506408691,79,0,21.7000007629395
0,1,0,1,1855,68,88.3720932006836,79.9000015258789
1,0,0,1,204,64,0,24.9500007629395
1,0,1,1,868.446716308594,68,57.8109092712402,30.4899997711182
0,0,1,1,112.43920135498,82,0,22.2199993133545
1,0,1,1,278.600006103516,76,0,25.2000007629395
0,0,1,1,136.789245605469,71,0,16.0400009155273
0,0,1,1,6.69509553909302,74,0,11.3999996185303
1,0,0,1,297,81,0,13.3500003814697
0,0,0,1,317.062408447266,82,0,17.7000007629395
0,0,1,1,138,80,0,14.6000003814697
1,0,0,0,714.680358886719,56,59.2687530517578,60
0,0,1,1,5.9130425453186,76,0,11.6999998092651
1,0,1,0,123.480438232422,76,0,4.80000019073486
0,1,1,1,1524.23950195312,73,0,45.7299995422363
0,0,1,0,5.5,61,0,0
0,0,1,1,346.5,67,0,23.9599990844727
1,0,1,0,180.699996948242,58,NA,7.19999980926514
1,0,0,1,194.343276977539,71,0,24.7999992370605
0,0,0,1,328.986083984375,81,0,18.8999996185303
1,0,1,1,608.714477539062,67,0,17.4525279998779
1,1,0,0,288,60,0,38.0499992370605
0,1,1,1,452,66,0,38.5
0,0,1,1,302.399993896484,70,0,21.3999996185303
0,0,0,1,430.0146484375,75,0,45.4300003051758
0,0,0,1,50,69,NA,21.7600002288818
1,0,0,1,290.5,79,0,26.2999992370605
0,0,1,1,88.8000030517578,73,0,17.6079998016357
1,0,0,1,272.040008544922,62,0.307219654321671,40.5
1,0,1,1,337,66,NA,18.6000003814697
1,0,0,1,165,71,NA,14
0,0,1,1,5.24260139465332,63,0,11.6999998092651
1,0,0,1,218,74,74.0740737915039,19.8500003814697
1,0,0,0,1,62,0,15
1,0,0,1,226,67,0,19.7000007629395
1,0,0,0,402,55,21.0526313781738,35.4000015258789
1,0,0,1,184.964096069336,65,0,27.8999996185303
0,1,0,1,439.933502197266,81,53.7654647827148,50.4000015258789
0,0,1,1,153,73,0,15.1000003814697
1,0,1,1,160,79,0,10.6999998092651
1,0,0,1,74.4499969482422,80,0,18.2700004577637
0,0,1,1,4.30000019073486,88,0,10.1440000534058
0,0,1,1,148,71,0,20.8500003814697
0,0,1,1,300,76,NA,13.3540000915527
1,0,0,1,226.845016479492,69,0,39.2000007629395
1,1,1,0,530,58,0,31.2999992370605
0,1,0,1,89.6811676025391,76,35.3907203674316,26
1,0,0,0,843,60,NA,22.7999992370605
0,0,0,1,0,65,NA,11.5699996948242
0,1,0,1,569.180358886719,62,0,46.9000015258789
1,0,1,0,268.5,57,0,4.19999980926514
0,0,0,0,97,60,NA,24.7999992370605
0,1,1,1,733,64,0,31.2099990844727
1,1,0,1,515,69,0,56
0,0,1,1,4.56603956222534,86,0,21.2999992370605
1,1,0,1,617,64,0,30.2999992370605
0,0,1,1,1,84,NA,7.80000019073486
0,0,1,1,93,71,0,22.2099990844727
1,0,1,0,155.646224975586,57,0,7.19999980926514
0,0,1,0,109.133361816406,55,0,10.8000001907349
1,0,1,0,141,60,NA,4.90000009536743
1,0,0,1,33,68,43.4782600402832,16.6399993896484
1,0,0,0,335.485168457031,65,0,25.3999996185303
1,0,1,0,0,55,NA,NA
0,0,0,1,332.908538818359,90,0,18.7000007629395
0,0,1,1,61.2714080810547,77,0,22.4300003051758
1,1,0,0,1546,67,56.1797752380371,69.3000030517578
1,0,0,0,0.100000001490116,60,NA,6.80000019073486
1,0,0,0,102.367980957031,65,0,20.0400009155273
1,0,0,1,291,67,0,20.5799999237061
0,0,1,1,185,69,0,19
1,0,0,0,22,75,0,12.8500003814697
0,0,1,1,206.631332397461,72,0,24
1,0,0,1,1060,88,0,28.8999996185303
1,0,0,1,543.549987792969,64,0,73.8990249633789
1,0,0,1,273.5,72,0,28.2000007629395
0,0,0,0,194.876434326172,56,0,28.1499996185303
0,1,1,1,387,67,0,31.5
1,0,0,1,735,76,0,21.0499992370605
1,0,0,1,247.341705322266,76,0,30.7000007629395
1,1,0,1,504.5,74,0,32.2000007629395
1,0,1,0,195,59,0,-1.79999995231628
0,0,1,1,120,82,NA,8.41199970245361
1,1,0,0,230,58,0,32.1500015258789
0,0,1,1,508.5,79,0,16.2000007629395
0,1,1,1,123.957221984863,85,0,16.0599994659424
1,0,0,1,1,70,NA,10.1400003433228
0,0,0,0,255,61,0,30.2000007629395
0,0,1,1,204.347503662109,57,0,13.1599998474121
0,0,1,0,13,85,0,14.1899995803833
0,0,1,1,147.916641235352,76,0,18.3500003814697
0,0,1,1,10.5,76,0,13
1,0,0,0,285.5,61,0,37.9500007629395
1,0,0,1,809.905944824219,79,0,24.0499992370605
0,1,0,1,480,81,0,74.1999969482422
0,0,1,1,155,82,0,14.5500001907349
0,0,0,1,573.468078613281,61,0,22.7000007629395
0,0,1,1,10.9249019622803,92,0,15.6000003814697
1,1,0,1,258.463989257812,73,0,51.5
0,0,1,1,415.200012207031,85,0,36.3499984741211
1,1,0,0,524.565673828125,62,0,44
1,0,0,1,77.2749252319336,58,1.30722975730896,27
1,0,1,0,347,72,NA,6
0,0,1,1,186.889297485352,79,0,16.1399993896484
0,0,0,1,209,79,0,31.8999996185303
1,1,0,1,1037.30004882812,65,0,52.5
0,0,1,1,87.1927185058594,74,0,12.6899995803833
1,0,1,1,13.6874151229858,71,0,3.90000009536743
0,0,1,1,20.5,81,0,9.22999954223633
1,1,0,1,260.672271728516,64,0,30.6000003814697
0,1,1,0,407.708221435547,62,0,33.4000015258789
1,0,1,1,10,85,0,12.5
1,0,0,1,782.552368164062,67,44.3523216247559,35.4360008239746
0,0,1,1,4.5,72,0,25.2199993133545
0,0,1,1,448.267395019531,73,0,19
0,0,1,1,0,66,NA,7.80000019073486
0,0,1,0,201.309967041016,55,0,24
1,0,0,1,592.049987792969,66,47.2512474060059,52.8110008239746
0,0,0,1,201.420120239258,83,0,13.1999998092651
0,0,0,1,85.295051574707,79,0,13.5299997329712
0,0,1,1,240.918960571289,81,0,19.3099994659424
0,0,0,1,206,84,0,19.7800006866455
1,0,0,1,244,87,0,27.1000003814697
0,1,1,1,697.6123046875,72,0,49.5
0,0,1,1,243,65,0,10.4530000686646
1,0,0,1,257,71,0,24.75
1,0,0,0,222.308303833008,61,0,25.2000007629395
1,0,1,0,151.5,56,NA,20.7999992370605
1,0,0,1,0.200000002980232,62,NA,16.8999996185303
1,0,1,1,324,67,0,15.9420003890991
0,0,1,1,470,80,75,40.1500015258789
0,0,1,1,210.179962158203,86,0,20.2000007629395
1,0,0,1,0,72,0,29.0499992370605
0,0,0,1,640,64,19.0909080505371,20.75
0,1,1,1,164.804061889648,63,0,38.0999984741211
0,0,1,1,124.549110412598,66,0,31.1979999542236
0,0,0,0,132.296157836914,63,0,9.60000038146973
1,0,0,1,149.699554443359,67,0,21.7000007629395
0,0,0,0,77.8659744262695,61,0,21.6000003814697
0,0,0,1,176.201019287109,69,0,15.6000003814697
1,0,0,1,157.596206665039,69,0,23
1,0,0,1,204.429580688477,74,0,11.5
1,0,1,0,377.354217529297,57,0,12
0,0,0,1,5.5,88,0,19.6849994659424
1,0,1,0,85.8828811645508,55,0,10
1,0,0,1,739,74,0,29.1000003814697
0,0,0,1,243,64,0,26.7999992370605
1,0,0,1,383.655303955078,74,0,22.0799999237061
0,0,1,1,0.200000002980232,67,NA,12.0249996185303
1,0,0,1,130,60,0,17.8999996185303
0,0,1,1,95,67,0,15.0799999237061
1,0,0,1,158,67,0,18.1499996185303
1,1,0,0,697,64,81.25,73.0999984741211
0,0,1,0,258.192779541016,83,0,3.59999990463257
1,0,0,0,207,56,0,8.39999961853027
1,0,1,1,273.577301025391,57,0,22.1100006103516
0,0,1,0,2.59306693077087,62,0,12.7399997711182
1,0,1,1,312.450653076172,77,0,12.1999998092651
0,0,1,1,65.5,66,NA,11.4499998092651
1,0,0,1,291,79,0,12.1199998855591
1,1,1,0,319.118621826172,59,29.9640140533447,80.8000030517578
0,0,1,1,111.533576965332,87,0,11.3999996185303
0,1,0,0,181.574905395508,62,0,28.3999996185303
0,0,0,1,3,69,0,11.7700004577637
0,0,1,1,353,83,0,25.75
1,0,0,1,114.400001525879,86,62.5,20.3999996185303
1,0,0,0,71.25,56,0,25.2999992370605
0,0,1,1,165.518402099609,81,0,20.2999992370605
1,0,0,1,271.903015136719,69,0,24.3500003814697
1,0,0,1,335,66,0,25.5
0,0,1,1,138.013916015625,67,0,14.3999996185303
1,0,0,1,35.8038291931152,70,0,17.1000003814697
1,0,0,1,250,87,NA,8.60000038146973
1,0,0,1,15,77,0,22.8999996185303
0,0,0,1,0,90,NA,7.80000019073486
0,0,1,0,146.300003051758,57,0,26.6000003814697
1,1,0,1,358.944091796875,75,0,41.3699989318848
0,1,1,0,332.139923095703,61,0,76
1,0,0,1,36.2999992370605,91,0,18.2399997711182
0,0,0,1,4.39954519271851,74,0,7.43599987030029
0,0,1,1,27,77,0,17.8999996185303
0,0,1,1,45,60,0,27.8999996185303
1,0,1,0,218.5,56,0,28
